wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.4 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230616_112302-yzhz6avz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run peachy-snowflake-2
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE/runs/yzhz6avz
Episode: 1/10000, Score: None, Epsilon: -1.00
Episode: 295/10000, Score: 40.65496063232422, Epsilon: -1.00
Episode: 296/10000, Score: 35.62092208862305, Epsilon: -1.00
Episode: 297/10000, Score: 51.99221420288086, Epsilon: -1.00
Episode: 298/10000, Score: 51.532135009765625, Epsilon: -1.00
Episode: 299/10000, Score: 33.49623489379883, Epsilon: -1.00
Episode: 300/10000, Score: 41.33454132080078, Epsilon: -1.00
Episode: 301/10000, Score: 45.944610595703125, Epsilon: -1.00
Episode: 302/10000, Score: 35.77142333984375, Epsilon: -1.00
Episode: 303/10000, Score: 42.88318634033203, Epsilon: -1.00
Episode: 304/10000, Score: 33.52912521362305, Epsilon: -1.00
Episode: 305/10000, Score: 38.26791000366211, Epsilon: -1.00
Episode: 306/10000, Score: 45.73737716674805, Epsilon: -1.00
Episode: 307/10000, Score: 31.517253875732422, Epsilon: -1.00
Episode: 308/10000, Score: 46.96415328979492, Epsilon: -1.00
Episode: 309/10000, Score: 47.15276336669922, Epsilon: -1.00
Episode: 310/10000, Score: 60.894134521484375, Epsilon: -1.00
Episode: 311/10000, Score: 50.95243835449219, Epsilon: -1.00
Episode: 312/10000, Score: 44.029476165771484, Epsilon: -1.00
Episode: 313/10000, Score: 35.01629638671875, Epsilon: -1.00
Episode: 314/10000, Score: 41.85890197753906, Epsilon: -1.00
Episode: 315/10000, Score: 49.59766387939453, Epsilon: -1.00
Episode: 316/10000, Score: 45.37779235839844, Epsilon: -1.00
Episode: 317/10000, Score: 51.53181076049805, Epsilon: -1.00
Episode: 318/10000, Score: 43.1243896484375, Epsilon: -1.00
Episode: 319/10000, Score: 27.242061614990234, Epsilon: -1.00
Episode: 320/10000, Score: 44.051265716552734, Epsilon: -1.00
Episode: 321/10000, Score: 52.47219467163086, Epsilon: -1.00
Episode: 322/10000, Score: 43.76129150390625, Epsilon: -1.00
Episode: 323/10000, Score: 42.55643844604492, Epsilon: -1.00
Episode: 324/10000, Score: 35.134212493896484, Epsilon: -1.00
Episode: 325/10000, Score: 38.41172409057617, Epsilon: -1.00
Episode: 326/10000, Score: 55.08243942260742, Epsilon: -1.00
Episode: 327/10000, Score: 44.2771110534668, Epsilon: -1.00
Episode: 328/10000, Score: 51.820369720458984, Epsilon: -1.00
Episode: 329/10000, Score: 46.431968688964844, Epsilon: -1.00
Episode: 330/10000, Score: 26.626516342163086, Epsilon: -1.00
Episode: 331/10000, Score: 20.60178565979004, Epsilon: -1.00
Episode: 332/10000, Score: 50.73261642456055, Epsilon: -1.00
Episode: 333/10000, Score: 31.488658905029297, Epsilon: -1.00
Episode: 334/10000, Score: 31.27761459350586, Epsilon: -1.00
Episode: 335/10000, Score: 40.187843322753906, Epsilon: -1.00
Episode: 336/10000, Score: 42.312015533447266, Epsilon: -1.00
Episode: 337/10000, Score: 50.43886947631836, Epsilon: -1.00
Episode: 338/10000, Score: 29.197124481201172, Epsilon: -1.00
Episode: 339/10000, Score: 34.11311340332031, Epsilon: -1.00
Episode: 340/10000, Score: 40.399803161621094, Epsilon: -1.00
Episode: 341/10000, Score: 36.16729736328125, Epsilon: -1.00
Episode: 342/10000, Score: 26.527814865112305, Epsilon: -1.00
Episode: 343/10000, Score: 34.81325912475586, Epsilon: -1.00
Episode: 344/10000, Score: 37.47821807861328, Epsilon: -1.00
Episode: 345/10000, Score: 49.21661376953125, Epsilon: -1.00
Episode: 346/10000, Score: 30.729650497436523, Epsilon: -1.00
Episode: 347/10000, Score: 30.446990966796875, Epsilon: -1.00
Episode: 348/10000, Score: 28.28900718688965, Epsilon: -1.00
Episode: 349/10000, Score: 34.503292083740234, Epsilon: -1.00
Episode: 350/10000, Score: 56.34428024291992, Epsilon: -1.00
Episode: 351/10000, Score: 50.7421875, Epsilon: -1.00
Episode: 352/10000, Score: 64.34906005859375, Epsilon: -1.00
Episode: 353/10000, Score: 36.33106994628906, Epsilon: -1.00
Episode: 354/10000, Score: 32.675682067871094, Epsilon: -1.00
Episode: 355/10000, Score: 25.603065490722656, Epsilon: -1.00
Episode: 356/10000, Score: 43.64506530761719, Epsilon: -1.00
Episode: 357/10000, Score: 30.334346771240234, Epsilon: -1.00
Episode: 358/10000, Score: 35.309715270996094, Epsilon: -1.00
Episode: 359/10000, Score: 49.4766960144043, Epsilon: -1.00
Episode: 360/10000, Score: 53.06571578979492, Epsilon: -1.00
Episode: 361/10000, Score: 41.949684143066406, Epsilon: -1.00
Episode: 362/10000, Score: 44.399375915527344, Epsilon: -1.00
Episode: 363/10000, Score: 45.7531852722168, Epsilon: -1.00
Episode: 364/10000, Score: 47.95054244995117, Epsilon: -1.00
Episode: 365/10000, Score: 42.488285064697266, Epsilon: -1.00
Episode: 366/10000, Score: 33.40703582763672, Epsilon: -1.00
Episode: 367/10000, Score: 41.60002136230469, Epsilon: -1.00
Episode: 368/10000, Score: 32.996604919433594, Epsilon: -1.00
Episode: 369/10000, Score: 29.691923141479492, Epsilon: -1.00
Episode: 370/10000, Score: 34.065330505371094, Epsilon: -1.00
Episode: 371/10000, Score: 35.689231872558594, Epsilon: -1.00
Episode: 372/10000, Score: 26.34259033203125, Epsilon: -1.00
